Time,AF3,AF4,F7,F3,F4,F8,FC5,FC6,T7,T8,P7,P8,O1,O2,AF3_Delta,AF4_Delta,F7_Delta,F3_Delta,F4_Delta,F8_Delta,FC5_Delta,FC6_Delta,T7_Delta,T8_Delta,P7_Delta,P8_Delta,O1_Delta,O2_Delta,AF3_Delta2,AF4_Delta2,F7_Delta2,F3_Delta2,F4_Delta2,F8_Delta2,FC5_Delta2,FC6_Delta2,T7_Delta2,T8_Delta2,P7_Delta2,P8_Delta2,O1_Delta2,O2_Delta2
0.0,-1.0449411869,-2.021709919,-0.5303925276,-1.2941378355,-5.0755925179000005,-1.2229999304,0.5544970632,1.3709776402,-0.1178007722,-1.1740487814,-0.6449674368,-1.181253314,-2.0212006569,-1.9328137636,0.9429765344,8.1152291298,7.6193164587,7.974255919500001,8.1714327336,7.5581153631,5.5974285006,6.5032765865,9.9147482514,8.6381829977,9.2243474722,8.6548303366,7.2189426422,10.3872939348,0.25492215155000003,-1.3045828342499988,-2.8112806677499997,-1.957243383000001,1.3089294433000005,-1.0514089464999996,-1.8011139332999997,-2.47016513345,-2.2677746116499997,-1.5034973025499987,-2.3214361071500003,-2.3468555808500007,-0.5598218440999999,-2.0343070626000017
7.8125,-0.1019646525,6.0935192108,7.0889239311,6.680118084,3.0958402157,6.3351154326999985,6.1519255638,7.8742542267,9.7969474792,7.4641342163,8.5793800354,7.4735770226,5.1977419853,8.4544801712,1.19789868595,6.810646295550001,4.80803579095,6.0170125364999985,9.4803621769,6.506706416599999,3.7963145673,4.03311145305,7.64697363975,7.134685695150001,6.90291136505,6.307974755749999,6.659120798099999,8.352986872199999,-0.331685520725,-3.441435337075,-3.759667813775,-3.713104784525,-1.0217640996250001,-3.846348583675,-2.5215528905,-2.6526468992,-4.117883473600001,-2.7692610621499996,-4.058901965624999,-4.113115608725,-2.254551529875,-4.461529076075
15.625,1.350856185,11.5995826721,9.0856790543,10.7398872375,13.8851318359,11.7904129028,8.1471261978,9.4372005463,15.1761465073,13.095322608900002,13.1608552933,11.4346961975,11.2970409393,14.7731599808,0.27960549295000003,1.23235845565,0.09998083115000034,0.5480463504499999,6.12790453435,-0.13458180424999974,0.5543227196,1.1979827881,1.6789813041999997,3.0996608733999995,1.1065435409500006,0.4285991191500007,2.7098395824500003,1.4642357826500003,-0.8764696345,-6.763483911750001,-5.3716592490999995,-6.3366159498500005,-8.0521853864,-6.4111487865250005,-3.66263897715,-3.256156981,-6.64771153035,-6.2060823738250015,-6.8026058227,-6.5999059379,-6.123320218150001,-8.574085444224997
23.4375,0.4572463334,8.5582361221,7.288885593400002,7.7762107849,15.3516492844,6.0659518242,7.260571003,10.2702198029,13.1549100876,13.663455963099999,10.792467117300001,8.330775260900001,10.6174211502,11.3829517365,-0.55504058305,-6.71632152795,-5.93528270725,-6.656219363200001,-6.6240085959,-6.31559115645,-3.5289633869999997,-2.4792025089500003,-5.6484494209500005,-5.277479052500001,-6.7023002803499985,-6.891837120049999,-5.587519638200001,-8.79518401625,0.1403914987999999,-3.7381449937749998,-3.9066399335750006,-3.648843526825,-7.859237849725,-1.076418995875,-2.58242306115,-3.23178954425,-3.8384125531,-5.6831847429,-4.299643397325001,-3.761190772025,-4.808503508575,-5.314366579075001
31.25,0.2407750189,-1.8330603838,-2.7848863602,-2.5725514889,0.6371146441,-0.8407694101000001,1.0891994238,4.4787955284,3.8792476654,2.5403645039,-0.2437452674,-2.3489780426,0.1220016629,-2.8172080517,0.5603884905499998,-6.2439315319,-7.713299036,-6.749640703200001,-9.5905711651,-2.287419796,-4.6105234027,-5.2655963004,-5.997843801999999,-8.266708612399999,-7.4927432537,-7.0937824249000005,-6.907167434700001,-9.164497375500002,0.6730078906000001,4.392668128,3.630508318575,4.237669557325,4.0378636717499985,4.437637388675,1.9966795444499998,1.2152682543,3.5489350557499995,3.0390080213250017,4.116047173749998,4.4179225564,3.38733010735,5.48998335005
39.0625,1.5780233144999998,-3.9296269417,-8.137712478600001,-5.7230706215,-3.8294930458,1.4911122322,-1.9604758024,-0.2609727979,1.1592224836,-2.8699612617000003,-4.1930193901,-5.8567895889,-3.1969137192000003,-6.946043014500001,0.7909751981500001,2.06901472805,1.3257339299,1.8191197514500002,1.4517187476,2.5596836209,0.4643957018999999,-0.04866600034999991,1.4494206905499998,0.8005369901500001,1.52979406715,1.94400799275,1.1871405765,2.18478268385,-0.3125914260749999,5.0563864708,7.5890752077,5.911895871174999,5.8952496797,1.324604511275,3.876679599275001,4.862277656825,4.83991843465,6.480575084649999,6.291619777675001,6.496397018400001,4.8519987464,7.3488181829500006
46.875,1.8227254152,2.3049690723,-0.1334185004,1.065688014,3.5405521393,4.2785978317,2.0179908276,4.3814635277,6.7780890465,4.1414384842,2.8158428669,1.5390379428999998,2.4962828159,1.552357316,-0.06479436159999996,3.8688414097000003,7.464851379400001,5.074151039149999,2.1999281943,0.36178922655,3.1428357958500004,4.458959013249999,3.6819930673,4.6944415569,5.09049630165,5.899011611900001,2.7968300581000003,5.5331389903999995,-0.458049826325,-0.9879941642,0.9764377772500002,-0.314282178875,-2.0553306341249997,-2.335092789475,-0.19676491619999986,0.2603975534249998,-1.3381320238249998,-0.5968478918,-0.5812177509000002,-0.1355214118999999,-1.15656011175,-0.9121793508499999
54.6875,1.4484345913,3.8080558777,6.7919902801999985,4.4252314568,0.5703633428,2.2146906853,4.3251957893,8.6569452286,8.5232086182,6.5189218521,5.9879732132,5.9412336349,2.396746397,4.1202349663,-0.12512445449999998,0.09302639965000004,3.2786094844000004,1.1905553937,-2.65894252065,-2.11050195805,0.07086586950000018,0.4721291064999997,-1.2268433571,-0.3931587934499998,0.3673585653499998,1.67296516895,-1.125979647,0.36042398215,0.08375158905000002,-1.1983294487,-3.5380795002250003,-1.967258930225,0.9856812655749998,0.05024123190000007,-2.0248629152500004,-3.6886817962,-2.7976011336,-2.4000532627,-2.520999073975,-2.5882079601,-0.6041280031249999,-1.78140592575
62.5,1.5724765062,2.4910218716,6.4238004684000005,3.4467988014,-1.777332902,0.0575939156,2.1597225666,5.3257217407,4.3244023323,3.3551208973000004,3.5505599976,4.8849682808,0.2443235219,2.2732052803,0.10270881650000008,1.4721825122999999,0.3886923789500001,1.1396331787,4.1712907254500005,0.4622716903500002,-0.9068900346500002,-2.91840457915,-1.9132091999000005,-0.10566496850000018,0.04849815369999977,0.7225956917000005,1.5885740518500004,1.9703271388999999,0.08488732577499998,1.826863706075,-1.1234172433250005,0.8666236102500002,4.6486211419500005,3.46903104895,1.2270876765249996,0.7821854353000004,3.02536022665,2.333251357074999,1.8177681565,0.49688464402500004,2.8689388483499996,2.332955509425
70.3125,1.6538522243,6.7524209023,7.5693750381,6.7044978142,8.9129447937,3.139234066,2.51141572,2.8201360703,4.696790218399999,6.3075919151,6.0849695206,7.386425018300001,5.573894500700001,8.0608892441,0.04465019704999995,3.7467538118,1.0317749977500001,2.9238026142000004,6.63829976325,4.82756013985,2.52504122255,2.0364999771000005,4.8238770962,4.273343920699999,4.002894878349999,2.666734457,4.611898049700001,5.0263350010000005,-0.07460781930000003,-1.0221967697250005,-0.8285096883499999,-1.0018349886,-2.76112274825,0.4983403682749998,1.3523519038999998,3.4331262111500003,3.0382544994250016,0.964741945275,0.5028400421000003,-0.6769547462500005,-0.7223864197500004,-1.4111716747250005
