Time,AF3,AF4,F7,F3,F4,F8,FC5,FC6,T7,T8,P7,P8,O1,O2,AF3_Delta,AF4_Delta,F7_Delta,F3_Delta,F4_Delta,F8_Delta,FC5_Delta,FC6_Delta,T7_Delta,T8_Delta,P7_Delta,P8_Delta,O1_Delta,O2_Delta,AF3_Delta2,AF4_Delta2,F7_Delta2,F3_Delta2,F4_Delta2,F8_Delta2,FC5_Delta2,FC6_Delta2,T7_Delta2,T8_Delta2,P7_Delta2,P8_Delta2,O1_Delta2,O2_Delta2
2000.0,-0.3019219637,2.7952156067,-5.925294399299999,-4.1579403877,-1.7049235106,-5.9408764839,7.8769335747000016,19.9731388092,8.43471241,0.0722658932,3.721064806,0.8123965262999999,-0.9856675863,11.3289003372,-0.4698811769,-4.1991325617,-1.7894802093000006,1.7608830929000003,-4.9220649003000005,0.41389274600000014,-2.4338393212000007,-2.558242797800002,-1.1519889832,-1.4036054909,-2.4126923084000005,-1.8544549942,-1.5425974131000002,-3.2892026901,0.0922288894,1.7386626005499997,6.079670000014304e-05,-2.2120535374000005,2.0436506866500004,-1.5434319973500004,-0.22304499144999967,-0.731633186399999,-1.0261671543000002,-0.3007715791500001,-0.4654830694499994,-0.39119148255000025,-0.9369184374499996,-0.32542443275000066
2007.8125,-0.7718031406,-1.403916955,-7.7147746086,-2.3970572948,-6.6269884109,-5.526983737899999,5.4430942535,17.4148960114,7.2827234268,-1.3313395977,1.3083724976,-1.0420584679,-2.5282649994,8.0396976471,-0.3776522875,-2.4604699611500003,-1.7894194126000005,-0.4511704445000002,-2.87841421365,-1.1295392513500002,-2.6568843126500004,-3.2898759842000014,-2.1781561375,-1.70437707005,-2.8781753778500003,-2.24564647675,-2.47951585055,-3.61462712285,0.09209495780000003,1.7387661636000002,5.519387499997031e-05,-2.212068021325,2.0439122318500003,-1.5434178114250006,-0.22298407549999968,-0.7315766811749991,-1.026163667425,-0.3007787913250002,-0.4655629396749996,-0.3912388086249999,-0.9375149607500001,-0.32570460440000026
2015.625,-1.0572265387,-2.1257243156,-9.5041332245,-5.0602812767000005,-7.4617519379,-8.1999549866,2.5631649494,13.3933868408,4.078400135,-3.3364882469,-2.0352859497,-3.6788964272,-5.9446992874,4.0996460915,-0.28569126129999994,-0.7216002345,-1.789369821550001,-2.66325294975,-0.8342404365999996,-2.672942876850001,-2.8798074722000004,-4.02139616015,-3.20431631805,-2.0051630735500003,-3.34381818775,-2.6369326114500002,-3.4176273345999997,-3.9406118989,0.04577824474999995,0.8696825504000001,-0.0004884004749998726,-1.1059709787249998,1.022458583125,-0.7714771032249998,-0.11151123044999987,-0.36550652979999976,-0.5130176544,-0.15045052022499994,-0.2331787943749997,-0.19600403307499992,-0.4707630574749997,-0.16394895317499958
2023.4375,-1.3431856632,-2.847117424,-11.293514251700001,-7.7235631943,-8.2954692841,-10.872869491600001,-0.3165206909,9.3721036911,0.8740907907,-5.3416657448,-5.3792638779,-6.3159236908,-9.3635196686,0.1584738493,-0.2860957980000001,-0.7211048603500001,-1.7903962135500002,-2.66311240195,-0.8334970474000003,-2.6724934578,-2.87990677355,-4.0208890438000005,-3.2041914463,-2.0052781105,-3.3445329665999983,-2.6376545429,-3.4210419654999997,-3.9425250292,-0.0002223849250000687,4.681945000001298e-05,-0.0013676881749991046,-1.4245475000063125e-05,0.00031280519999987716,0.0005472898750007449,-0.00046706202500002014,0.00024873020000004686,-8.016822500023224e-05,-0.0006610751000000192,-0.001400947549999865,-0.001664996149999709,-0.004216194150000296,-0.0023151040000000127
2031.25,-1.6294181347,-3.5679340363,-13.0849256516,-10.3865060806,-9.1287460327,-13.5449419022,-3.1966485977,5.3516087532,-2.3299827576,-7.3470444679,-8.724351882899999,-8.954205513,-12.786783218399998,-3.7854039669,-0.2861360311500001,-0.7215065956000001,-1.7921051978999991,-2.6632814407,-0.8336148261999998,-2.6718482970999995,-2.88074159625,-4.02089869975,-3.2044766545000005,-2.0064852237500004,-3.3466200828499995,-2.640262603749999,-3.4260597229000007,-3.9452421069,-7.06314999993074e-06,-0.0010068416250000878,-0.0015306472499996284,-0.0006192922749999052,-0.0006372928749998064,0.0001058578499999463,-0.0011007190000000833,-0.0004631280999998211,-0.0006421804250000829,-0.0015734434249998765,-0.0025165081250002608,-0.00302827360000002,-0.005128145200000711,-0.002918243400000353
2039.0625,-1.9154577255,-4.2901306152,-14.8777246475,-13.0501260757,-9.962698936499999,-16.2165660858,-6.0780038834,1.3303062916,-5.534862518300001,-9.354636192300001,-12.072504043599999,-11.596448898299998,-16.215639114400002,-7.732010364500001,-0.28610992429999993,-0.7231185436000003,-1.7934575080499997,-2.6643509865,-0.8347716331499999,-2.6722817421,-2.8821082115500003,-4.0218153,-3.2054758071499996,-2.00842499735,-3.34956598285,-2.6437110901,-3.4312982559000007,-3.948361516,0.00017672777500010728,-0.0013605356250000475,-0.0014619827250013095,-0.0011661052999996089,-0.0009193420250004357,-0.0007538795500008355,-0.0010190009750001838,-0.0008215904250001849,-0.0009680688499993373,-0.0016518831499996445,-0.002729654300000828,-0.003097057350001098,-0.0053277015749997325,-0.0033304989500000377
2046.875,-2.2016379833,-5.014171123500001,-16.6718406677,-15.7152080536,-10.798289299,-18.8895053864,-8.9608650208,-2.6920218468,-8.7409343719,-11.3638944626,-15.423483848599998,-14.2416276932,-19.6493797302,-11.682126998900001,-0.2857825755999999,-0.7242276668500001,-1.7950291633500015,-2.6656136512999997,-0.8354535102500007,-2.673356056200001,-2.8827795982000004,-4.0225418806,-3.2064127921999983,-2.00978899005,-3.3520793914500016,-2.6464567184500014,-3.43671512605,-3.9519031048,0.0002445578499999379,-0.0007169246749999525,-0.0016891956500004743,-0.0013453960250000565,-0.0003886222750000279,-0.0006468296000003981,-0.0006198882750001465,-0.000611901275000104,-0.0008153915750002128,-0.0013355016500007366,-0.0022158622499999225,-0.0026438236000001503,-0.005138874074999134,-0.003191411500000019
2054.6875,-2.4870228767,-5.7385859489,-18.467782974200002,-18.3813533783,-11.633605957,-21.563278198200003,-11.843563079800001,-6.7147774696,-11.947688102699999,-13.3742141724,-18.7766628265,-16.8893623352,-23.089069366500002,-15.635816574100001,-0.28562080860000005,-0.7245523929500002,-1.7968358993500004,-2.66704177855,-0.8355488777,-2.673575401300001,-2.8833479881000006,-4.02303910255,-3.2071065903000004,-2.0110960006500007,-3.35399770735,-2.6489987373000004,-3.4415760040499985,-3.954744339,1.397544085975,0.13846206662500005,0.12444710730000084,0.8590080738249997,-0.4343490600749993,1.3463454246250013,0.9145481586250004,1.6624482274000003,1.359061479549999,0.4188613891749999,1.8992886543000005,0.534389972700001,0.6867280006500005,1.7013562917750007
2062.5,-2.7728796005,-6.463275909400001,-20.2655124664,-21.0492916107,-12.4693870544,-24.236656189,-14.727560997000001,-10.7381000519,-15.1551475525,-15.386086463900002,-22.131479263299997,-19.5396251678,-26.532531738299998,-19.591615676900002,2.50930559635,-0.4473035336,-1.5461349487499998,-0.94759750365,-1.7041516303999993,0.01933479305000141,-1.0536832809499996,-0.6976454257999998,-0.4882898331000014,-1.1720662116999998,0.4464979171499994,-1.5776767730499994,-2.063259124749999,-0.549190521249999,1.82879692315,-0.3436821699249997,-0.10821485519999996,2.51456594465,-0.9939959049500002,2.6471843719500012,0.7146015167000002,2.1612039804500003,1.8745036125250008,-0.3381507396999992,2.097564458824999,-0.0608599186249994,-0.3653793334750022,2.7677369117750006
2070.3125,2.531588316,-6.6331930161,-21.5600528717,-20.276548385599998,-15.041909217799999,-21.5246086121,-13.9509296417,-8.1100683212,-12.924267768900002,-15.7183465958,-17.883666992200006,-20.0447158813,-27.215587616,-16.7341976166,3.3719730376999997,-1.4119167327999995,-2.0132656097500004,2.36209011075,-2.8235406876000004,2.6207933426000007,-1.4541449547000005,0.2993688583500003,0.541900634750001,-2.68739748005,0.8411312102999986,-2.770718574549999,-4.172334671000003,1.5807294845500015,-1.7627799659999999,-0.3751703500500001,0.9597053528000004,3.2700710296499995,1.1170785426999994,2.8641872406249997,0.5139799117999995,-0.09755647182500016,0.6484320164000009,-0.4866371154749998,-0.5793690681249988,-0.06770133975000013,0.3455457687499992,1.6175637245249996
